time_period,time_identifier,geographic_level,country_code,country_name,category,CPP_At31,Neglect_Initial,Physical_abuse_Initial,Sexual_abuse_Initial,Emotional_abuse_Initial,Multiple_Initial
2024,Reporting year,National,E92000001,England,Initial category of abuse,49900,25350,3430,1760,18430,930
2023,Reporting year,National,E92000001,England,Initial category of abuse,50780,25050,3630,1890,19000,1210
2022,Reporting year,National,E92000001,England,Initial category of abuse,50920,24430,3780,1930,19480,1280
2021,Reporting year,National,E92000001,England,Initial category of abuse,50010,24120,3650,1930,18840,1480
2020,Reporting year,National,E92000001,England,Initial category of abuse,51510,26010,3820,1970,18380,1330
2019,Reporting year,National,E92000001,England,Initial category of abuse,52260,25330,4170,2230,18460,2070
2018,Reporting year,National,E92000001,England,Initial category of abuse,53790,25820,4120,2180,18860,2820
2017,Reporting year,National,E92000001,England,Initial category of abuse,51080,24590,3950,2260,17280,3010
2016,Reporting year,National,E92000001,England,Initial category of abuse,50310,23150,4200,2370,17770,2810
2015,Reporting year,National,E92000001,England,Initial category of abuse,49690,22230,4350,2340,16660,4110
2014,Reporting year,National,E92000001,England,Initial category of abuse,48300,20970,4760,2210,15860,4500
2013,Reporting year,National,E92000001,England,Initial category of abuse,43190,17930,4670,2030,13640,4870
